target,feature_set,model,training_population,n_raw_features,n_transformed_features,fit_seconds,temporal_prediction_seconds,calibration_2022_n,calibration_2022_event_n,calibration_2022_prevalence,calibration_2022_pr_auc,calibration_2022_roc_auc,calibration_2022_brier,temporal_test_2023_n,temporal_test_2023_event_n,temporal_test_2023_prevalence,temporal_test_2023_pr_auc,temporal_test_2023_roc_auc,temporal_test_2023_brier,train_n,train_event_n,train_prevalence
target_preterm,landmark_strict,lightgbm,target-specific U.S.-resident singleton births,8,38,349.28132128715515,3.2779269218444824,709742,61304,0.0863750489614536,0.14288889450651932,0.6103177951078066,0.0774638941127732,3480382,303001,0.08705969632069123,0.14341334040639475,0.6082204802244098,0.07803498404882704,2837999,246258,0.08677170076522225
target_nicu,landmark_strict,lightgbm,target-specific U.S.-resident singleton births,8,38,347.75564646720886,3.2227232456207275,708927,59844,0.08441489744360138,0.13638187259676432,0.6066122392402027,0.07602848528084387,3476584,303285,0.0872364942138605,0.1391447126552673,0.6031739969966974,0.07834844989469539,2834616,238659,0.08419447290214971
target_lbw,landmark_strict,lightgbm,target-specific U.S.-resident singleton births,8,38,350.5349590778351,3.4679036140441895,709748,49714,0.07004457920275929,0.1310287300341376,0.6500751339816123,0.0636216694587635,3480316,243776,0.07004421437593598,0.13091951242729458,0.6498194494853343,0.06362028757202502,2837920,199031,0.07013270282460393
