target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_event_n,protocol,nominal_fraction,from_scenario,to_scenario,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,259986,348038,88052,43398,60738,17340,0.1437019867549669,0.20111920529801325,0.05741721854304635
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33097,35291,2194,0.10959271523178808,0.11685761589403973,0.007264900662251647
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35291,37307,2016,0.11685761589403973,0.12353311258278146,0.006675496688741733
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33097,37307,4210,0.10959271523178808,0.12353311258278146,0.01394039735099338
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,53192,56234,3042,0.17613245033112582,0.18620529801324504,0.010072847682119218
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,56234,60738,4504,0.18620529801324504,0.20111920529801325,0.014913907284768213
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,53192,60738,7546,0.17613245033112582,0.20111920529801325,0.02498675496688743
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,126676,170724,44048,26662,34778,8116,0.08828476821192054,0.11515894039735099,0.02687417218543045
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,170724,183033,12309,34778,38685,3907,0.11515894039735099,0.1280960264900662,0.012937086092715225
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,126676,183033,56357,26662,38685,12023,0.08828476821192054,0.1280960264900662,0.039811258278145675
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,239985,331764,91779,41143,54467,13324,0.13623509933774836,0.1803543046357616,0.04411920529801325
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,331764,362108,30344,54467,62416,7949,0.1803543046357616,0.20667549668874172,0.026321192052980114
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,239985,362108,122123,41143,62416,21273,0.13623509933774836,0.20667549668874172,0.07044039735099336
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130091,167011,36920,27130,34178,7048,0.08969781128083053,0.11300006612444621,0.023302254843615686
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167011,174019,7008,34178,37242,3064,0.11300006612444621,0.1231303312834755,0.01013026515902929
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130091,174019,43928,27130,37242,10112,0.08969781128083053,0.1231303312834755,0.033432520002644975
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260182,334022,73840,43652,54787,11135,0.14432321629306355,0.1811380017192356,0.03681478542617206
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334022,348038,14016,54787,60643,5856,0.1811380017192356,0.20049923956886861,0.019361237849633006
