target,nominal_fraction,B_early_point,B_all_point,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,total_topq_contrast_point,total_topq_contrast_point_pp,total_topq_contrast_ci_lower,total_topq_contrast_ci_upper,total_topq_contrast_ci_lower_pp,total_topq_contrast_ci_upper_pp,availability_main_at_early_budget_point,availability_main_at_early_budget_point_pp,availability_main_at_early_budget_ci_lower,availability_main_at_early_budget_ci_upper,availability_main_at_early_budget_ci_lower_pp,availability_main_at_early_budget_ci_upper_pp,capacity_main_in_early_cohort_point,capacity_main_in_early_cohort_point_pp,capacity_main_in_early_cohort_ci_lower,capacity_main_in_early_cohort_ci_upper,capacity_main_in_early_cohort_ci_lower_pp,capacity_main_in_early_cohort_ci_upper_pp,interaction_point,interaction_point_pp,interaction_ci_lower,interaction_ci_upper,interaction_ci_lower_pp,interaction_ci_upper_pp,shapley_availability_point,shapley_availability_point_pp,shapley_availability_ci_lower,shapley_availability_ci_upper,shapley_availability_ci_lower_pp,shapley_availability_ci_upper_pp,shapley_capacity_point,shapley_capacity_point_pp,shapley_capacity_ci_lower,shapley_capacity_ci_upper,shapley_capacity_ci_lower_pp,shapley_capacity_ci_upper_pp,ordered_availability_at_all_budget_point,ordered_availability_at_all_budget_point_pp,ordered_availability_at_all_budget_ci_lower,ordered_availability_at_all_budget_ci_upper,ordered_availability_at_all_budget_ci_lower_pp,ordered_availability_at_all_budget_ci_upper_pp,ordered_capacity_within_early_cohort_point,ordered_capacity_within_early_cohort_point_pp,ordered_capacity_within_early_cohort_ci_lower,ordered_capacity_within_early_cohort_ci_upper,ordered_capacity_within_early_cohort_ci_lower_pp,ordered_capacity_within_early_cohort_ci_upper_pp
target_preterm,0.05,130053,174019,0.08931983722825998,0.09917789050201155,0.10876531760621252,0.12287418193339296,0.03355434470513298,3.355434470513298,0.0329226083633551,0.03423978035051023,3.2922608363355104,3.423978035051023,0.009858053273751569,0.9858053273751568,0.009185397893293654,0.010520293584725417,0.9185397893293654,1.0520293584725418,0.019445480377952545,1.9445480377952546,0.018980232918714018,0.019913849127531465,1.8980232918714017,1.9913849127531464,0.004250811053428866,0.42508110534288657,0.003620541524152011,0.004917949594083913,0.3620541524152011,0.4917949594083913,0.011983458800466001,1.1983458800466003,0.011329159542465491,0.012662988742840827,1.132915954246549,1.2662988742840826,0.021570885904666978,2.1570885904666977,0.021268318920463436,0.02190620781070944,2.1268318920463436,2.190620781070944,0.014108864327180434,1.4108864327180435,0.013329612259258931,0.014999216021609208,1.3329612259258932,1.4999216021609207,0.019445480377952545,1.9445480377952546,0.018980232918714018,0.019913849127531465,1.8980232918714017,1.9913849127531464
target_preterm,0.1,260106,348038,0.14315464305398332,0.16273543651671116,0.1757815980805344,0.19970891185177606,0.05655426879779274,5.655426879779274,0.055649121672690795,0.05742497752119456,5.564912167269079,5.742497752119456,0.01958079346272784,1.9580793462727841,0.018685167249195483,0.020474952969487228,1.8685167249195482,2.0474952969487226,0.03262695502655108,3.262695502655108,0.03204202866762248,0.033262283014539824,3.2042028667622477,3.3262283014539826,0.004346520308513818,0.4346520308513818,0.003486253690331801,0.005234899640588724,0.34862536903318014,0.5234899640588724,0.02175405361698475,2.175405361698475,0.020860155791294528,0.02257295148813746,2.086015579129453,2.257295148813746,0.03480021518080799,3.480021518080799,0.0343437143973718,0.03520934139891216,3.43437143973718,3.520934139891216,0.02392731377124166,2.392731377124166,0.022898318321900268,0.02498429809611865,2.2898318321900266,2.498429809611865,0.03262695502655108,3.262695502655108,0.03204202866762248,0.033262283014539824,3.2042028667622477,3.3262283014539826
target_nicu,0.05,129864,173829,0.08395403663221063,0.09434030697199004,0.10302520731325321,0.11665595067345896,0.03270191404124834,3.2701914041248337,0.032118778072818016,0.03332931640835125,3.2118778072818017,3.3329316408351253,0.010386270339779416,1.0386270339779415,0.009708629355433037,0.01104833964503569,0.9708629355433037,1.104833964503569,0.019071170681042582,1.9071170681042582,0.01863553702962492,0.01953865983778144,1.8635537029624922,1.9538659837781442,0.003244473020426339,0.3244473020426339,0.002506140651660764,0.0038769904179117983,0.2506140651660764,0.3876990417911798,0.012008506849992585,1.2008506849992586,0.011354397357743868,0.012600342639652115,1.1354397357743868,1.2600342639652116,0.02069340719125575,2.069340719125575,0.020373881911933688,0.021015255336757858,2.0373881911933687,2.101525533675786,0.013630743360205755,1.3630743360205755,0.012819154291419107,0.01437548006930651,1.2819154291419106,1.437548006930651,0.019071170681042582,1.9071170681042582,0.01863553702962492,0.01953865983778144,1.8635537029624922,1.9538659837781442
target_nicu,0.1,259727,347658,0.13697677102395436,0.15592594424386302,0.16946106797236923,0.19208665116969187,0.055109880145737505,5.51098801457375,0.0542290754072089,0.05596387344739552,5.42290754072089,5.5963873447395525,0.01894917321990866,1.894917321990866,0.018088226594787087,0.01984797716232323,1.8088226594787087,1.9847977162323232,0.03248429694841487,3.2484296948414872,0.0318826021163991,0.033076865054216004,3.18826021163991,3.3076865054216005,0.0036764099774139747,0.36764099774139747,0.002788685951124264,0.004532383794323828,0.2788685951124264,0.4532383794323828,0.020787378208615648,2.0787378208615648,0.019928711907281484,0.021758988503314963,1.9928711907281484,2.1758988503314964,0.03432250193712186,3.4322501937121856,0.03385773645853149,0.03471531573628627,3.385773645853149,3.471531573628627,0.022625583197322635,2.2625583197322636,0.021603830387824163,0.02373530491767536,2.1603830387824163,2.373530491767536,0.03248429694841487,3.2484296948414872,0.0318826021163991,0.033076865054216004,3.18826021163991,3.3076865054216005
target_lbw,0.05,130005,174016,0.09386896166972959,0.10642967314255711,0.117115712785508,0.13361446573903912,0.03974550406930953,3.974550406930953,0.03894135700405599,0.04061379183303629,3.8941357004055988,4.061379183303629,0.012560711472827515,1.2560711472827515,0.011814028164934624,0.013540193794340207,1.1814028164934625,1.3540193794340207,0.02324675111577841,2.3246751115778412,0.02271767815906491,0.023804501600057794,2.271767815906491,2.3804501600057795,0.003938041480703605,0.3938041480703605,0.00307938746001979,0.00477211626484092,0.307938746001979,0.477211626484092,0.014529732213179318,1.4529732213179318,0.013761933497834927,0.015418693458191387,1.3761933497834926,1.5418693458191386,0.025215771856130213,2.521577185613021,0.024790209480237965,0.025607602963595048,2.4790209480237966,2.5607602963595046,0.01649875295353112,1.649875295353112,0.015522339714102048,0.017433845519869075,1.5522339714102047,1.7433845519869076,0.02324675111577841,2.3246751115778412,0.02271767815906491,0.023804501600057794,2.271767815906491,2.3804501600057795
target_lbw,0.1,260009,348032,0.15894919926489892,0.18125246127592545,0.19705385271724862,0.22628560645838802,0.0673364071934891,6.7336407193489105,0.06620863823151772,0.06844141521544717,6.6208638231517725,6.844141521544716,0.02230326201102653,2.230326201102653,0.021044475068810277,0.023555463177840248,2.1044475068810278,2.355546317784025,0.0381046534523497,3.81046534523497,0.03735318783292743,0.03891371054177838,3.735318783292743,3.891371054177838,0.006928491730112868,0.6928491730112868,0.005884918893115208,0.008065538721527774,0.5884918893115207,0.8065538721527774,0.025767507876082965,2.5767507876082965,0.024547559701385686,0.026995471899786763,2.4547559701385686,2.6995471899786763,0.041568899317406136,4.156889931740613,0.04107993363364443,0.04208070364594835,4.107993363364443,4.2080703645948345,0.0292317537411394,2.92317537411394,0.027991330385628663,0.030701596800722625,2.799133038562866,3.0701596800722624,0.0381046534523497,3.81046534523497,0.03735318783292743,0.03891371054177838,3.735318783292743,3.891371054177838
