target,feature_set,model,evaluation,nominal_fraction,n_early,n_all,event_n_early,event_n_all,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_availability_at_all_budget,ordered_capacity_within_early_cohort,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error
target_preterm,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,2601060,3480382,217632,303001,260106,348038,0.1425473843320649,0.16085425460642044,0.17449117329645777,0.19750429866568098,43192,48739,52871,59844,0.01830687027435554,0.03194378896439287,0.004706255094867662,0.023013125369223203,0.03194378896439287,0.01830687027435554,0.036650044059260534,0.020659997821789372,0.0342969165118267,0.054956914333616075,0.0,0.0
target_nicu,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,2597274,3476584,214174,303285,259727,347658,0.13632721697413325,0.15543135994196877,0.16830703793461596,0.19116672436816856,41346,47140,51045,57978,0.019104142967835525,0.03197982096048271,0.003755543465717076,0.0228596864335526,0.03197982096048271,0.019104142967835525,0.03573536442619979,0.020981914700694063,0.03385759269334125,0.054839507394035314,0.0,0.0
target_lbw,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,2600093,3480316,169152,243776,260009,348032,0.14383696508269886,0.1649506103964295,0.17829893016539775,0.20488891441323182,35064,40211,43465,49947,0.02111364531373064,0.03446196508269889,0.005476338934103431,0.02658998424783407,0.03446196508269889,0.02111364531373064,0.03993830401680232,0.023851814780782354,0.0372001345497506,0.061051949330532956,0.0,0.0
