target,nominal_fraction,strict9_topq_total_pp,no_race_topq_total_pp,delta_no_race_minus_strict9_topq_total_pp,strict9_fixed_budget_early_all_pp,no_race_fixed_budget_early_all_pp,delta_no_race_minus_strict9_fixed_budget_pp,strict9_threshold_early_all_pp,no_race_threshold_early_all_pp,delta_no_race_minus_strict9_threshold_pp,strict9_shapley_availability_pp,no_race_shapley_availability_pp,delta_no_race_minus_strict9_shapley_availability_pp,strict9_shapley_capacity_pp,no_race_shapley_capacity_pp,delta_no_race_minus_strict9_shapley_capacity_pp,strict9_interaction_pp,no_race_interaction_pp,delta_no_race_minus_strict9_interaction_pp,no_race_over_strict9_topq_ratio,no_race_over_strict9_shapley_availability_ratio
target_preterm,0.1,5.6689581882568,5.495691433361608,-0.17326675489519328,2.4049425579453496,2.30131253692232,-0.10363002102302954,6.775555196187469,6.417140537489974,-0.3584146586974951,2.148837792614545,2.0659997821789373,-0.08283801043560768,3.520120395642258,3.4296916511826705,-0.09042874445958748,0.5122095306616142,0.4706255094867662,-0.04158402117484805,0.9694358735518436,0.9614498540930739
target_nicu,0.1,5.588472888537188,5.483950739403531,-0.10452214913365676,2.3215787130916485,2.28596864335526,-0.035610069736388694,6.356067725077069,6.061295481148093,-0.2947722439289757,2.1138533062960567,2.0981914700694064,-0.015661836226650294,3.4746195822411257,3.385759269334125,-0.0888603129070007,0.4154508135911783,0.3755543465717076,-0.039896467019470694,0.9812968316714844,0.9925908594603031
target_lbw,0.1,6.77055985823051,6.105194933053296,-0.6653649251772142,2.9309694145444984,2.658998424783407,-0.2719709897610917,8.187434365975319,7.138110396429509,-1.0493239695458096,2.6005431215542147,2.3851814780782354,-0.2153616434759793,4.170016736676292,3.72001345497506,-0.4500032817012318,0.6608525859805731,0.5476338934103431,-0.11321869257022998,0.9017267494698573,0.9171858979414775
