outcome,target,budget_percent,budget_n,early_capture_percent,full_capture_percent,difference_pp,ci_lower_pp,ci_upper_pp,additional_true_positives,additional_tp_ci_lower,additional_tp_ci_upper,bootstrap_replicates
Preterm,target_preterm,5,174019,11.488740961250953,12.863983947247698,1.3752429859967454,1.2924270028842428,1.4590718406991432,4167,3915.475,4421.1,500
Preterm,target_preterm,10,348038,18.826010475212954,21.40719007528028,2.5811796000673266,2.469319629581297,2.695565834315878,7821,7485.8,8156.1,500
NICU,target_nicu,5,173829,10.787872792917552,12.294706299355392,1.5068335064378393,1.4289615075805089,1.5873233629626282,4570,4338.95,4816.625,500
NICU,target_nicu,10,347658,17.771073412796547,20.498211253441482,2.727137840644936,2.6194864887113143,2.835432806966353,8271,7936.8,8605.525,500
Low birth weight,target_lbw,5,174016,12.339196639537937,14.220021659228143,1.8808250196902077,1.7709773255844337,1.9890487208019911,4585,4317.325,4859.525,500
Low birth weight,target_lbw,10,348032,20.556576529272775,23.984313468101863,3.4277369388290904,3.2837129109460426,3.5691104612241777,8356,8008.475,8693.525,500
