target,feature_set,model,evaluation,availability_scenario,protocol,nominal_fraction,budget_n,threshold,threshold_source_year,full_population_n,full_population_event_n,eligible_n,eligible_event_n,selected_n,true_positive_n,selection_rate_among_eligible,precision,recall_among_eligible,population_event_capture,event_availability_ceiling
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.05,,0.14372704023597924,2022,3476584,303285,3335329,279316,173008,34169,0.05187134462597243,0.19749953759363728,0.12233097996534391,0.11266300674283265,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.05,,0.14372704023597924,2022,3476584,303285,3476584,303285,183284,37241,0.052719566102818166,0.20318740315575828,0.12279209324562705,0.12279209324562705,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.1,259727,,,3476584,303285,2597274,214174,259727,42252,0.09999984599237509,0.16267850473766685,0.19727884803944457,0.13931450615757457,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.1,333533,,,3476584,303285,3335329,279316,333533,54548,0.10000002998204975,0.16354603592448125,0.19529135459479585,0.1798572299981865,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.1,347658,,,3476584,303285,3476584,303285,347658,59201,0.09999988494453176,0.1702851653061342,0.1951992350429464,0.1951992350429464,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.1,347658,,,3476584,303285,2597274,214174,347658,52160,0.13385495715892895,0.15003250320717487,0.2435402990092168,0.17198344791202994,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.1,347658,,,3476584,303285,3335329,279316,347658,56161,0.10423499450878759,0.16154093965909025,0.20106617594409198,0.18517565985788945,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.1,347658,,,3476584,303285,3476584,303285,347658,59201,0.09999988494453176,0.1702851653061342,0.1951992350429464,0.1951992350429464,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.1,,0.11958385704221117,2022,3476584,303285,2597274,214174,255166,41734,0.09824377404925318,0.1635562731711905,0.19486025381232083,0.13760654170169972,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.1,,0.11958385704221117,2022,3476584,303285,3335329,279316,337404,55021,0.10116063512774902,0.16307156998731492,0.19698477709834022,0.1814168191634931,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.1,,0.11958385704221117,2022,3476584,303285,3476584,303285,361714,61011,0.1040429340985289,0.1686719341800428,0.20116721895247044,0.20116721895247044,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.05,130005,,,3480316,243776,2600093,169152,130005,23229,0.0500001346105697,0.17867774316372448,0.13732619182746877,0.09528829745339984,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.05,166949,,,3480316,243776,3338986,223218,166949,30259,0.04999991015236362,0.18124696763682321,0.13555806431380982,0.1241262470464689,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.05,174016,,,3480316,243776,3480316,243776,174016,32892,0.05000005746604619,0.1890171018756896,0.134927146232607,0.134927146232607,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.05,174016,,,3480316,243776,2600093,169152,174016,28918,0.06692683684775891,0.16618012136815005,0.1709586643965191,0.11862529535311105,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.05,174016,,,3480316,243776,3338986,223218,174016,31273,0.052116420973313454,0.1797133596910629,0.14010070872420682,0.12828580336046205,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.05,174016,,,3480316,243776,3480316,243776,174016,32892,0.05000005746604619,0.1890171018756896,0.134927146232607,0.134927146232607,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.05,,0.14392183752558246,2022,3480316,243776,2600093,169152,120487,21859,0.046339496318016316,0.18142206213118428,0.1292269674612183,0.08966838409031241,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.05,,0.14392183752558246,2022,3480316,243776,3338986,223218,168387,30453,0.050430579822736604,0.1808512533627893,0.13642716985189365,0.12492205959569441,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.05,,0.14392183752558246,2022,3480316,243776,3480316,243776,180653,33876,0.05190706820874886,0.18751972012643023,0.13896363875032816,0.13896363875032816,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.1,260009,,,3480316,243776,2600093,169152,260009,39145,0.09999988461951169,0.150552480875662,0.23141907869844874,0.16057774350223156,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.1,333899,,,3480316,243776,3338986,223218,333899,51025,0.1000001197968485,0.152815671804947,0.2285881962924137,0.20931100682593856,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.1,348032,,,3480316,243776,3480316,243776,348032,55650,0.10000011493209238,0.1598990897388746,0.22828334208453663,0.22828334208453663,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.1,348032,,,3480316,243776,2600093,169152,348032,48505,0.13385367369551782,0.1393693683339463,0.28675392546348843,0.1989736479390916,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.1,348032,,,3480316,243776,3338986,223218,348032,52674,0.10423284194662691,0.15134815189407871,0.2359755933661264,0.21607541349435547,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.1,348032,,,3480316,243776,3480316,243776,348032,55650,0.10000011493209238,0.1598990897388746,0.22828334208453663,0.22828334208453663,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.1,,0.11898002424713403,2022,3480316,243776,2600093,169152,237973,36522,0.0915248031512719,0.1534711921100293,0.21591231555051077,0.14981786558151747,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.1,,0.11898002424713403,2022,3480316,243776,3338986,223218,332032,50823,0.09944096800645466,0.15306657189668466,0.22768325135069753,0.20848237726437385,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.1,,0.11898002424713403,2022,3480316,243776,3480316,243776,355034,56481,0.10201200120908561,0.15908617202859446,0.23169220924127068,0.23169220924127068,1.0
