target,nominal_fraction,B_early_point,B_all_point,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,total_topq_contrast_point,total_topq_contrast_point_pp,total_topq_contrast_ci_lower,total_topq_contrast_ci_upper,total_topq_contrast_ci_lower_pp,total_topq_contrast_ci_upper_pp,availability_main_at_early_budget_point,availability_main_at_early_budget_point_pp,availability_main_at_early_budget_ci_lower,availability_main_at_early_budget_ci_upper,availability_main_at_early_budget_ci_lower_pp,availability_main_at_early_budget_ci_upper_pp,capacity_main_in_early_cohort_point,capacity_main_in_early_cohort_point_pp,capacity_main_in_early_cohort_ci_lower,capacity_main_in_early_cohort_ci_upper,capacity_main_in_early_cohort_ci_lower_pp,capacity_main_in_early_cohort_ci_upper_pp,interaction_point,interaction_point_pp,interaction_ci_lower,interaction_ci_upper,interaction_ci_lower_pp,interaction_ci_upper_pp,shapley_availability_point,shapley_availability_point_pp,shapley_availability_ci_lower,shapley_availability_ci_upper,shapley_availability_ci_lower_pp,shapley_availability_ci_upper_pp,shapley_capacity_point,shapley_capacity_point_pp,shapley_capacity_ci_lower,shapley_capacity_ci_upper,shapley_capacity_ci_lower_pp,shapley_capacity_ci_upper_pp,ordered_availability_at_all_budget_point,ordered_availability_at_all_budget_point_pp,ordered_availability_at_all_budget_ci_lower,ordered_availability_at_all_budget_ci_upper,ordered_availability_at_all_budget_ci_lower_pp,ordered_availability_at_all_budget_ci_upper_pp,ordered_capacity_within_early_cohort_point,ordered_capacity_within_early_cohort_point_pp,ordered_capacity_within_early_cohort_ci_lower,ordered_capacity_within_early_cohort_ci_upper,ordered_capacity_within_early_cohort_ci_lower_pp,ordered_capacity_within_early_cohort_ci_upper_pp,workload_increase_pct,capture_relative_increase_pct,capacity_share_pct
target_preterm,0.1,260106,348038,0.1462899462378012,0.1652172765106385,0.1789301025409157,0.2029795281203692,0.056689581882568,5.668958188256804,0.0558224868649826,0.057661810701197,5.582248686498267,5.766181070119705,0.0189273302728373,1.8927330272837384,0.0179603622325032,0.019861001949546,1.7960362232503222,1.9861001949546024,0.0326401563031145,3.2640156303114507,0.0320774374630605,0.0332521669458268,3.2077437463060514,3.325216694582684,0.0051220953066161,0.5122095306616142,0.0043645221446852,0.0060367136662494,0.436452214468529,0.6036713666249472,0.0214883779261454,2.148837792614545,0.0205576090300384,0.0224050851837235,2.0557609030038444,2.2405085183723505,0.0352012039564225,3.520120395642258,0.0348433984239058,0.0356794145745056,3.484339842390581,3.5679414574505657,0.0240494255794535,2.4049425579453527,0.0230024434481537,0.0251149940303417,2.300244344815373,2.5114994030341777,0.0326401563031145,3.2640156303114507,0.0320774374630605,0.0332521669458268,3.2077437463060514,3.325216694582684,33.80621746518726,38.751522808284044,62.09466146591362
target_nicu,0.1,259727,347658,0.1393145061575745,0.1583757851525792,0.1719834479120299,0.1951992350429464,0.0558847288853718,5.588472888537183,0.0550654603810843,0.0567378085646781,5.506546038108431,5.673780856467815,0.0190612789950046,1.906127899500468,0.0181022373669207,0.0199338106040219,1.810223736692075,1.9933810604021944,0.0326689417544553,3.2668941754455365,0.0320480988453839,0.0332435606793897,3.204809884538393,3.324356067938972,0.0041545081359117,0.4154508135911783,0.0034099013746183,0.0050942526291136,0.3409901374618312,0.5094252629113663,0.0211385330629605,2.1138533062960567,0.0203081026417669,0.0220092615115021,2.0308102641766945,2.20092615115022,0.0347461958224112,3.4746195822411257,0.03436379697885,0.0352078372123563,3.436379697885004,3.520783721235638,0.0232157871309164,2.321578713091646,0.0222176081492708,0.0243096819458868,2.2217608149270824,2.4309681945886887,0.0326689417544553,3.2668941754455365,0.0320480988453839,0.0332435606793897,3.204809884538393,3.324356067938972,33.85516330608678,40.11407744012121,62.1747595728361
target_lbw,0.1,260009,348032,0.1605777435022315,0.1832789117878708,0.1989736479390916,0.2282833420845366,0.067705598582305,6.770559858230508,0.0666654390046133,0.0689122571566142,6.666543900461337,6.891225715661423,0.0227011682856392,2.2701168285639284,0.021558946962274,0.0239489324520508,2.155894696227404,2.3948932452050804,0.03839590443686,3.8395904436860055,0.0376394985689507,0.0391429582072109,3.763949856895073,3.914295820721099,0.0066085258598057,0.6608525859805731,0.0055321548142572,0.0077605410463568,0.5532154814257212,0.7760541046356879,0.0260054312155421,2.6005431215542147,0.0249100592856689,0.0272262718420451,2.491005928566891,2.722627184204511,0.0417001673667629,4.170016736676292,0.0411974087756824,0.0422120407202205,4.1197408775682405,4.221204072022057,0.029309694145445,2.9309694145445016,0.0279860506361534,0.0307752038246812,2.7986050636153488,3.0775203824681263,0.03839590443686,3.8395904436860055,0.0376394985689507,0.0391429582072109,3.763949856895073,3.914295820721099,33.853828136718334,42.163750159662825,61.59042714328993
