target,feature_set,model,training_population,n_raw_features,n_transformed_features,fit_seconds,temporal_prediction_seconds,calibration_2022_n,calibration_2022_event_n,calibration_2022_prevalence,calibration_2022_pr_auc,calibration_2022_roc_auc,calibration_2022_brier,temporal_test_2023_n,temporal_test_2023_event_n,temporal_test_2023_prevalence,temporal_test_2023_pr_auc,temporal_test_2023_roc_auc,temporal_test_2023_brier,train_n,train_event_n,train_prevalence
target_preterm,landmark_strict,lightgbm,target-specific U.S.-resident singleton births,9,39,435.57982420921326,3.504343032836914,709742,61304,0.0863750489614536,0.14567382438641713,0.6141805880458058,0.07736427496974832,3480382,303001,0.08705969632069123,0.14563201522950012,0.6119751363940684,0.07795083755994033,2837999,246258,0.08677170076522225
target_nicu,landmark_strict,lightgbm,target-specific U.S.-resident singleton births,9,39,440.1678857803345,3.6206395626068115,708927,59844,0.08441489744360138,0.13874736152833067,0.6112733594103167,0.07593690205375918,3476584,303285,0.0872364942138605,0.14129620438199542,0.6078574816274055,0.07826389104960922,2834616,238659,0.08419447290214971
target_lbw,landmark_strict,lightgbm,target-specific U.S.-resident singleton births,9,39,434.9974913597107,3.5485706329345703,709748,49714,0.07004457920275929,0.13284943566511237,0.6528968066795767,0.06355766489788166,3480316,243776,0.07004421437593598,0.13241770689363985,0.652362565015295,0.06356629456183684,2837920,199031,0.07013270282460393
