target,threshold_source_year,nominal_fraction,canonical_threshold_exact,threshold_used,N_all,E_all,prevalence,nominal_selected_n,selected_n,workload_difference_n,selection_rate,TP,precision,population_event_capture
target_preterm,2022,0.1,0.1245214824015858,0.1245214824015858,3512780,307612,0.0875693894863897,351278,372390,21112,0.10601005471449963,65236,0.1751819329197884,0.21207235088358062
target_nicu,2022,0.1,0.1195838570422111,0.1195838570422111,3510341,310650,0.08849567606110062,351034,373434,22400,0.10638111795976517,63350,0.1696417573118677,0.20392724931595044
target_lbw,2022,0.1,0.118980024247134,0.118980024247134,3514422,245967,0.06998789559136609,351442,358394,6952,0.10197807776072423,57240,0.1597124951868614,0.23271414458037054
