target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_full_event_n,bootstrap_early_candidate_n,nominal_fraction,budget_lock,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,canonical_fixed_budget_C01_C11_crosscheck,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0,3480382,302645,2602879,0.05,fixed_observed_point_absolute_counts,130053,174019,0.0909977035801021,0.10133324522129888,0.11163574484957624,0.1249021130367262,27540,30668,33786,37801,PASS,0.01033554164119678,0.020638041269474133,0.002930826545953183,0.020638041269474133,0.013266368187149963,0.01033554164119678,0.023568867815427316,0.011800954914173371,0.022103454542450725,0.033904409456624096,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0,3480382,302645,2602879,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1466437575377092,0.16650200730228484,0.1793421335227742,0.20402782137487815,44381,50391,54277,61748,PASS,0.019858249764575647,0.032698375985065004,0.004827438087528307,0.032698375985065004,0.024685687852103955,0.019858249764575647,0.03752581407259331,0.0222719688083398,0.03511209502882916,0.05738406383716896,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,1,3480382,302000,2599858,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09102317880794702,0.10082450331125828,0.11160596026490066,0.12485761589403974,27489,30449,33705,37707,PASS,0.009801324503311254,0.020582781456953636,0.0034503311258278213,0.020582781456953636,0.013251655629139075,0.009801324503311254,0.024033112582781457,0.011526490066225165,0.022307947019867547,0.03383443708609271,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,1,3480382,302000,2599858,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14736092715231788,0.1659569536423841,0.18020198675496688,0.20408940397350994,44503,50119,54421,61635,PASS,0.018596026490066225,0.03284105960264899,0.005291390728476841,0.03284105960264899,0.023887417218543067,0.018596026490066225,0.03813245033112583,0.021241721854304646,0.03548675496688741,0.05672847682119206,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,2,3480382,302460,2601819,0.05,fixed_observed_point_absolute_counts,130053,174019,0.090792170865569,0.1002248231171064,0.11132381141307941,0.12454539443232163,27461,30314,33671,37670,PASS,0.009432652251537402,0.020531640547510416,0.0037889307677048123,0.020531640547510416,0.013221583019242214,0.009432652251537402,0.024320571315215228,0.011327117635389808,0.022426105931362822,0.03375322356675263,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,2,3480382,302460,2601819,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14672683991271573,0.16522515373933744,0.17998082391059975,0.20343847120280367,44379,49974,54437,61532,PASS,0.018498313826621704,0.03325398399788401,0.004959333465582222,0.03325398399788401,0.023457647292203926,0.018498313826621704,0.038213317463466234,0.020977980559412815,0.03573365073067512,0.05671163129008794,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,3,3480382,302754,2600950,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09005000759692688,0.10026952575358211,0.11091182940605245,0.12320233588986437,27263,30357,33579,37300,PASS,0.010219518156655227,0.02086182180912556,0.0020709883271567003,0.02086182180912556,0.012290506483811928,0.010219518156655227,0.02293281013628226,0.011255012320233578,0.02189731597270391,0.03315232829293749,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,3,3480382,302754,2600950,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14653481044015934,0.16442061872014904,0.17969044174478288,0.20204522483600548,44364,49779,54402,61170,PASS,0.0178858082799897,0.03315563130462354,0.004468974811232901,0.03315563130462354,0.022354783091222602,0.0178858082799897,0.03762460611585644,0.02012029568560615,0.03539011871023999,0.05551041439584614,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,4,3480382,303586,2601112,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09143043486853808,0.1012563161674122,0.11174757729276054,0.12509799529622578,27757,30740,33925,37978,PASS,0.009825881298874115,0.02031714242422246,0.0035245367045911302,0.02031714242422246,0.013350418003465245,0.009825881298874115,0.02384167912881359,0.01158814965116968,0.022079410776518024,0.033667560427687704,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,4,3480382,303586,2601112,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14761550269116494,0.16580145329494772,0.18012029540229127,0.2040410295599929,44814,50335,54682,61944,PASS,0.01818595060378278,0.03250479271112633,0.0057347835539188485,0.03250479271112633,0.02392073415770163,0.01818595060378278,0.03823957626504518,0.021053342380742204,0.03537218448808575,0.05642552686882796,0.0,0.0,0.0,0.0
