population,evaluation,target,feature_set,model,budget_fraction_of_full_population,budget_n,early_selected_n,full_selected_n,early_true_positive_n,full_true_positive_n,additional_true_positives_full_minus_early,early_precision,full_precision,precision_difference_full_minus_early,early_recall_among_eligible,full_recall_among_eligible,early_population_event_capture,full_population_event_capture,population_event_capture_difference_full_minus_early,early_maximum_event_ceiling,full_maximum_event_ceiling
all_births_sensitivity,temporal_test_2023,target_preterm,booking_strict,lightgbm,0.05,179669,179669,179669,40880,45173,4293,0.22752951260373241,0.25142345090137974,0.023893938297647327,0.15081921247874033,0.12081507988724319,0.10933346170921793,0.12081507988724319,0.01148161817802526,0.7249305967873935,1.0
all_births_sensitivity,temporal_test_2023,target_preterm,booking_strict,lightgbm,0.1,359338,359338,359338,67980,76139,8159,0.18918121657047127,0.2118868586122258,0.022705642041754542,0.2507996591072595,0.20363357243341837,0.18181234655070044,0.20363357243341837,0.021821225882717926,0.7249305967873935,1.0
all_births_sensitivity,temporal_test_2023,target_nicu,booking_strict,lightgbm,0.05,179474,179474,179474,36635,41509,4874,0.20412427426813912,0.23128141123505355,0.027157136966914436,0.1464925364182005,0.1179889938715876,0.10413468863344362,0.1179889938715876,0.013854305238143974,0.7108532023513092,1.0
all_births_sensitivity,temporal_test_2023,target_nicu,booking_strict,lightgbm,0.1,358948,358948,358948,60837,69658,8821,0.16948694518426066,0.1940615353755976,0.024574590191336926,0.24326918078542553,0.19800229673340838,0.17292867619469932,0.19800229673340838,0.025073620538709068,0.7108532023513092,1.0
all_births_sensitivity,temporal_test_2023,target_lbw,booking_strict,lightgbm,0.05,179655,179655,179655,34687,39466,4779,0.19307561715510282,0.21967660237677772,0.026600985221674894,0.1600404172760786,0.12802704184413957,0.11252404602563396,0.12802704184413957,0.015502995818505616,0.7030976795788012,1.0
all_births_sensitivity,temporal_test_2023,target_lbw,booking_strict,lightgbm,0.1,359310,359310,359310,58598,67395,8797,0.16308480142495338,0.18756783835685062,0.02448303693189724,0.270362048362316,0.21862824925469485,0.19009092884971598,0.21862824925469485,0.02853732040497886,0.7030976795788012,1.0
