target,feature_set,model,evaluation,probability_type,bin,bin_n,event_n,mean_predicted_probability,observed_event_rate,absolute_gap,minimum_probability,maximum_probability,population,scenario
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,1,17765,662,0.039508243625671104,0.03726428370391219,0.002243959921758916,0.02641141846722546,0.04321201979669021,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,2,17766,814,0.04612722949735906,0.04581785432849263,0.00030937516886643535,0.04321223719913991,0.04880241363649381,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,3,17766,932,0.051237961024187234,0.05245975458741416,0.0012217935632269292,0.04880241363649381,0.05341025829285755,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,4,17765,1006,0.05534834409352797,0.05662820151984239,0.0012798574263144166,0.05341025829285755,0.05726888251332676,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,5,17766,973,0.05897639779430078,0.05476753349093775,0.004208864303363029,0.05726923185044136,0.06058838695809084,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,6,17766,1067,0.0622705089360807,0.06005853878194304,0.0022119701541376616,0.060588624543749005,0.06394859391208427,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,7,17765,1113,0.06548336303497482,0.06265128060793695,0.002832082427037863,0.06394859391208427,0.06702401655035252,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,8,17766,1166,0.06853153493142247,0.06563098052459755,0.0029005544068249206,0.06702401655035252,0.07008534736796702,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,9,17766,1310,0.0716621091512646,0.07373635033209501,0.0020742411808304106,0.07008563571756721,0.07326005265807492,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,10,17766,1319,0.07489574976004859,0.0742429359450636,0.0006528138149849844,0.07326020974767584,0.07656612236859389,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,11,17765,1360,0.07827817324141273,0.07655502392344497,0.0017231493179677565,0.07656616180002955,0.0800393747513278,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,12,17766,1451,0.08195127721336358,0.08167285826860295,0.00027841894476063334,0.08003975641675919,0.08390608690998283,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,13,17766,1587,0.08600713584362246,0.08932792975346167,0.0033207939098392064,0.08390654104004902,0.08824446233895523,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,14,17765,1613,0.09069807719723488,0.09079650999155643,9.84327943215485e-05,0.08824451506098299,0.0933330043713252,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,15,17766,1702,0.09628028488601728,0.09580096814139367,0.0004793167446236063,0.0933331557580982,0.09944188800092146,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,16,17766,1797,0.10307282117247765,0.10114826072272881,0.001924560449748841,0.09944256582610098,0.10703258642823517,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,17,17765,1999,0.11192960194697554,0.11252462707571066,0.0005950251287351188,0.10703331905286478,0.11747872735771647,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,18,17766,2218,0.12481440009362395,0.12484520995159293,3.080985796898028e-05,0.11747878204023988,0.1334437766075352,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,19,17766,2615,0.1471643661713641,0.1471912642125408,2.6898041176698362e-05,0.13344502816811762,0.16522453680404564,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,20,17766,3926,0.2226474468794804,0.22098390183496566,0.0016635450445147415,0.16522525274968267,0.6511592467380679,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,1,17765,662,0.0388348142143684,0.03726428370391219,0.0015705305104562126,0.025780191650134794,0.04253970930592178,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,2,17766,814,0.04546134285047157,0.04581785432849263,0.0003565114780210571,0.042539927028824996,0.04814433384084696,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,3,17766,932,0.05058990118266223,0.05245975458741416,0.001869853404751931,0.04814433384084696,0.05277226518992621,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,4,17765,1006,0.054721063531399154,0.05662820151984239,0.0019071379884432332,0.05277226518992621,0.056652974370340545,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,5,17766,973,0.05837182546775974,0.05476753349093775,0.003604291976821994,0.05665332591220595,0.05999503222424875,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,6,17766,1067,0.06168989784488966,0.06005853878194304,0.001631359062946619,0.05999527153654416,0.06338120470314841,singleton_primary,full_cohort
