target,feature_set,model,evaluation,protocol,nominal_fraction,from_scenario,to_scenario,from_eligible_n,to_eligible_n,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_precision,to_precision,delta_precision,from_recall_among_eligible,to_recall_among_eligible,delta_recall_among_eligible,from_population_event_capture,to_population_event_capture,delta_population_event_capture,from_event_availability_ceiling,to_event_availability_ceiling
target_preterm,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,2601060,3340358,130053,167018,36965,27434,34710,7276,0.21094476867123405,0.20782191141074616,-0.003122857260487888,0.12605682987795913,0.12580006813717318,-0.0002567617407859546,0.09054095531037851,0.11455407737928258,0.024013122068904075,0.718255055263844,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,3340358,3480382,167018,174019,7001,34710,37631,2921,0.20782191141074616,0.21624650181876692,0.008424590408020766,0.12580006813717318,0.12419430958973733,-0.0016057585474358455,0.11455407737928258,0.12419430958973733,0.00964023221045475,0.9106042554315003,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,2601060,3480382,130053,174019,43966,27434,37631,10197,0.21094476867123405,0.21624650181876692,0.005301733147532878,0.12605682987795913,0.12419430958973733,-0.0018625202882218,0.09054095531037851,0.12419430958973733,0.033653354279358824,0.718255055263844,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,2601060,3340358,260106,334036,73930,44326,55801,11475,0.17041513844355763,0.16705085679387852,-0.003364281649679113,0.20367409204528747,0.20224055321585713,-0.001433538829430342,0.1462899462378012,0.18416110837918026,0.03787116214137906,0.718255055263844,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,3340358,3480382,334036,348038,14002,55801,61503,5702,0.16705085679387852,0.17671346232307966,0.009662605529201146,0.20224055321585713,0.20297952812036923,0.0007389749045121075,0.18416110837918026,0.20297952812036923,0.018818419741188974,0.9106042554315003,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,2601060,3480382,260106,348038,87932,44326,61503,17177,0.17041513844355763,0.17671346232307966,0.006298323879522033,0.20367409204528747,0.20297952812036923,-0.0006945639249182345,0.1462899462378012,0.20297952812036923,0.056689581882568035,0.718255055263844,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,2601060,3340358,174019,174019,0,33618,35687,2069,0.1931858015504054,0.205075307868681,0.011889506318275594,0.15447176885752095,0.12934102655175164,-0.02513074230576931,0.11095012887746245,0.1177784891799037,0.006828360302441258,0.718255055263844,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,3340358,3480382,174019,174019,0,35687,37631,1944,0.205075307868681,0.21624650181876692,0.011171193950085923,0.12934102655175164,0.12419430958973733,-0.005146716962014311,0.1177784891799037,0.12419430958973733,0.006415820409833628,0.9106042554315003,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,2601060,3480382,174019,174019,0,33618,37631,4013,0.1931858015504054,0.21624650181876692,0.023060700268361517,0.15447176885752095,0.12419430958973733,-0.03027745926778362,0.11095012887746245,0.12419430958973733,0.013244180712274886,0.718255055263844,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,2601060,3340358,348038,348038,0,54216,57413,3197,0.15577609341508686,0.1649618719794965,0.009185778564409636,0.24911777679752978,0.20808295338402547,-0.04103482341350431,0.1789301025409157,0.18948122283424806,0.010551120293332356,0.718255055263844,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,3340358,3480382,348038,348038,0,57413,61503,4090,0.1649618719794965,0.17671346232307966,0.011751590343583168,0.20808295338402547,0.20297952812036923,-0.0051034252636562305,0.18948122283424806,0.20297952812036923,0.01349830528612117,0.9106042554315003,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,2601060,3480382,348038,348038,0,54216,61503,7287,0.15577609341508686,0.17671346232307966,0.020937368907992804,0.24911777679752978,0.20297952812036923,-0.04613824867716054,0.1789301025409157,0.20297952812036923,0.024049425579453526,0.718255055263844,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,2601060,3340358,129414,172572,43158,27349,35489,8140,0.21132953158081816,0.20564749785596736,-0.0056820337248507935,0.12566626231436553,0.12862341164275826,0.002957149328392722,0.09026042818340534,0.11712502599001323,0.026864597806607896,0.718255055263844,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,3340358,3480382,172572,183664,11092,35489,39100,3611,0.20564749785596736,0.2128887533757296,0.007241255519762235,0.12862341164275826,0.12904247840766203,0.0004190667649037749,0.11712502599001323,0.12904247840766203,0.0119174524176488,0.9106042554315003,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,2601060,3480382,129414,183664,54250,27349,39100,11751,0.21132953158081816,0.2128887533757296,0.0015592217949114417,0.12566626231436553,0.12904247840766203,0.003376216093296497,0.09026042818340534,0.12904247840766203,0.038782050224256695,0.718255055263844,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,2601060,3340358,245487,334755,89268,42615,55894,13279,0.1735937137200748,0.166969873489567,-0.006623840230507799,0.19581219673577416,0.20257761476402067,0.0067654180282465115,0.14064310018778817,0.18446803805928033,0.043824937871492164,0.718255055263844,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,3340358,3480382,334755,361709,26954,55894,63145,7251,0.166969873489567,0.17457403603449181,0.007604162544924825,0.20257761476402067,0.20839865214966288,0.005821037385642214,0.18446803805928033,0.20839865214966288,0.02393061409038255,0.9106042554315003,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,2601060,3480382,245487,361709,116222,42615,63145,20530,0.1735937137200748,0.17457403603449181,0.0009803223144170259,0.19581219673577416,0.20839865214966288,0.012586455413888725,0.14064310018778817,0.20839865214966288,0.06775555196187472,0.718255055263844,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,2597274,3335329,129864,166766,36902,25801,33323,7522,0.19867707755806074,0.1998189079308732,0.001141830372812458,0.12046747037455527,0.11930215240086497,-0.001165317973690294,0.08507179715449165,0.10987355128014903,0.024801754125657383,0.7061806551593386,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,3335329,3476584,166766,173829,7063,33323,35854,2531,0.1998189079308732,0.20626017522967974,0.006441267298806536,0.11930215240086497,0.1182188370674448,-0.0010833153334201678,0.10987355128014903,0.1182188370674448,0.008345285787295778,0.9209687257859769,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,2597274,3476584,129864,173829,43965,25801,35854,10053,0.19867707755806074,0.20626017522967974,0.0075830976716189935,0.12046747037455527,0.1182188370674448,-0.002248633307110462,0.08507179715449165,0.1182188370674448,0.03314703991295316,0.7061806551593386,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,2597274,3335329,259727,333533,73806,42252,54548,12296,0.16267850473766685,0.16354603592448125,0.000867531186814402,0.19727884803944457,0.19529135459479585,-0.0019874934446487136,0.13931450615757457,0.1798572299981865,0.040542723840611944,0.7061806551593386,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,3335329,3476584,333533,347658,14125,54548,59201,4653,0.16354603592448125,0.1702851653061342,0.006739129381652942,0.19529135459479585,0.1951992350429464,-9.211955184945664e-05,0.1798572299981865,0.1951992350429464,0.015342005044759882,0.9209687257859769,1.0
