target,feature_set,model,evaluation,nominal_fraction,n_early,n_all,event_n_early,event_n_all,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error,year,capacity_share,shapley_capacity_lower,shapley_capacity_upper,shapley_availability_lower,shapley_availability_upper,interaction_lower,interaction_upper,total_topq_contrast_lower,total_topq_contrast_upper,availability_at_early_budget_lower,availability_at_early_budget_upper,ordered_availability_at_all_budget_lower,ordered_availability_at_all_budget_upper,capacity_share_lower,capacity_share_upper
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,2602987,3512780,218941,307612,130149,175639,0.09001924502295099,0.09971652601328947,0.11101972614852476,0.12451724900198952,27691,30674,34151,38303,0.00969728099033848,0.021000481125573775,0.0038002418631262747,0.021000481125573775,0.013497522853464755,0.00969728099033848,0.02480072298870005,0.011597401921901618,0.022900602057136912,0.03449800397903853,0.0,0.0,0.0,0.0,2024,0.6638239728609121,0.022582334158909062,0.02320934994301502,0.010877174952188394,0.012272803493913131,0.003146823451908144,0.004483076998557557,0.03379761668955305,0.03509808267034235,0.00900802902108073,0.010366372917924756,0.012614377168162837,0.014288462774725308,0.6490372823534075,0.6799270266332983
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,2602987,3512780,218941,307612,260299,351278,0.14517964188653237,0.16514635319818471,0.1790209744743378,0.20365590419099386,44659,50801,55069,62647,0.01996671131165234,0.03384133258780542,0.004668218405003727,0.03384133258780542,0.024634929716656068,0.01996671131165234,0.038509550992809144,0.022300820514154204,0.03617544179030728,0.058476262304461485,0.0,0.0,0.0,0.0,2024,0.6186346453191016,0.03573305925954093,0.03659622095492147,0.02135520333257807,0.0232388527795025,0.0038253016056628425,0.005540072402240509,0.05764194856207495,0.05931033948009552,0.01904978131478025,0.020903447197440406,0.023603394629794414,0.025765648369191933,0.6075139443523803,0.6299961856669519
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,2600302,3510341,218108,310650,130015,175517,0.08449380331562852,0.09433446000321906,0.10477064220183487,0.11784967004667632,26248,29305,32547,36610,0.009840656687590543,0.02027683888620635,0.0032383711572509105,0.02027683888620635,0.013079027844841454,0.009840656687590543,0.02351521004345726,0.011459842266215998,0.021896024464831805,0.033355866731047804,0.0,0.0,0.0,0.0,2024,0.6564369812777456,0.021581853026691772,0.022210994415326306,0.010850556367652366,0.012097260919635722,0.0025704388716241986,0.0038886301229142783,0.0327677391845919,0.033936134187198375,0.009193266658440813,0.01053698901592294,0.012363639859936059,0.013858219882128153,0.6428654079949292,0.669902656466417
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,2600302,3510341,218108,310650,260030,351034,0.1383679381941091,0.15727667793336553,0.17174311926605504,0.19494929985514245,42984,48858,53352,60561,0.018908739739256414,0.033375181071945925,0.004297440849830997,0.033375181071945925,0.02320618058908741,0.018908739739256414,0.03767262192177692,0.021057460164171912,0.035523901496861424,0.056581361661033336,0.0,0.0,0.0,0.0,2024,0.627837514934289,0.035145373093310645,0.03597437122272685,0.02024506516552393,0.021904259331909388,0.003406379021509013,0.005133093149847966,0.055828597896095206,0.05739928928717446,0.018085393192025158,0.019763759289123474,0.02215887246717205,0.024154319350336073,0.6178502791392836,0.6389447507646263
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,2601907,3514422,168801,245967,130095,175721,0.09535832042509768,0.1084251139380486,0.11925583513235516,0.13665247777140835,23455,26669,29333,33612,0.013066793512950925,0.023897514707257483,0.004329849126102264,0.023897514707257483,0.01739664263905319,0.013066793512950925,0.028227363833359748,0.015231718076002057,0.026062439270308616,0.04129415734631067,0.0,0.0,0.0,0.0,2024,0.6311410849660334,0.0257015900733974,0.026471672022510537,0.01439055027264039,0.016111105003403486,0.0035439836630592482,0.00523146408266084,0.04047962062214805,0.04212414866369994,0.012199229494371088,0.014073639125496485,0.016359468226429863,0.01848281185034931,0.6167017097237487,0.6456989426104197
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,2601907,3514422,168801,245967,260191,351442,0.15935064459866569,0.18358966853277064,0.19880309147162017,0.22944134782308195,39195,45157,48899,56435,0.02423902393410496,0.03945244687295449,0.0063992324173568205,0.03945244687295449,0.03063825635146178,0.02423902393410496,0.04585167929031131,0.02743864014278337,0.0426520630816329,0.07009070322441627,0.0,0.0,0.0,0.0,2024,0.6085266821345708,0.04214760871173659,0.04318391192472054,0.02637933682680329,0.02850370833294544,0.005300374964197183,0.0074270626012649995,0.06905521422296321,0.07118771687965335,0.0231089693776632,0.02544901298106608,0.029358696756339744,0.031963900489323696,0.5977466421448839,0.6190518807064692
