target,feature_set,model,evaluation,nominal_fraction,n_early,n_all,event_n_early,event_n_all,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error,year
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,2602987,3512780,218941,307612,130149,175639,0.09001924502295099,0.09971652601328947,0.11101972614852476,0.12451724900198952,27691,30674,34151,38303,0.00969728099033848,0.021000481125573775,0.0038002418631262747,0.021000481125573775,0.013497522853464755,0.00969728099033848,0.02480072298870005,0.011597401921901618,0.022900602057136912,0.03449800397903853,0.0,0.0,0.0,0.0,2024
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,2602987,3512780,218941,307612,260299,351278,0.14517964188653237,0.16514635319818471,0.1790209744743378,0.20365590419099386,44659,50801,55069,62647,0.01996671131165234,0.03384133258780542,0.004668218405003727,0.03384133258780542,0.024634929716656068,0.01996671131165234,0.038509550992809144,0.022300820514154204,0.03617544179030728,0.058476262304461485,0.0,0.0,0.0,0.0,2024
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,2600302,3510341,218108,310650,130015,175517,0.08449380331562852,0.09433446000321906,0.10477064220183487,0.11784967004667632,26248,29305,32547,36610,0.009840656687590543,0.02027683888620635,0.0032383711572509105,0.02027683888620635,0.013079027844841454,0.009840656687590543,0.02351521004345726,0.011459842266215998,0.021896024464831805,0.033355866731047804,0.0,0.0,0.0,0.0,2024
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,2600302,3510341,218108,310650,260030,351034,0.1383679381941091,0.15727667793336553,0.17174311926605504,0.19494929985514245,42984,48858,53352,60561,0.018908739739256414,0.033375181071945925,0.004297440849830997,0.033375181071945925,0.02320618058908741,0.018908739739256414,0.03767262192177692,0.021057460164171912,0.035523901496861424,0.056581361661033336,0.0,0.0,0.0,0.0,2024
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,2601907,3514422,168801,245967,130095,175721,0.09535832042509768,0.1084251139380486,0.11925583513235516,0.13665247777140835,23455,26669,29333,33612,0.013066793512950925,0.023897514707257483,0.004329849126102264,0.023897514707257483,0.01739664263905319,0.013066793512950925,0.028227363833359748,0.015231718076002057,0.026062439270308616,0.04129415734631067,0.0,0.0,0.0,0.0,2024
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,2601907,3514422,168801,245967,260191,351442,0.15935064459866569,0.18358966853277064,0.19880309147162017,0.22944134782308195,39195,45157,48899,56435,0.02423902393410496,0.03945244687295449,0.0063992324173568205,0.03945244687295449,0.03063825635146178,0.02423902393410496,0.04585167929031131,0.02743864014278337,0.0426520630816329,0.07009070322441627,0.0,0.0,0.0,0.0,2024
