target,feature_set,model,evaluation,bootstrap_method,replicates,confidence_level,nominal_fraction,metric,point_estimate,point_estimate_pp,bootstrap_mean,bootstrap_mean_pp,bootstrap_se,bootstrap_se_pp,ci_lower,ci_upper,ci_lower_pp,ci_upper_pp
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C00_early_Bearly,0.09054095531037851,9.05409553103785,0.09057161196395305,9.057161196395306,0.00048123566956639023,0.048123566956639025,0.08967482053995508,0.09151231276469937,8.967482053995509,9.151231276469938
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C10_all_Bearly,0.10043531209467955,10.043531209467956,0.10046336318530495,10.046336318530495,0.0005055451211977434,0.05055451211977434,0.09961520884811602,0.10153069166528038,9.961520884811602,10.153069166528038
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C01_early_Ball,0.11095012887746245,11.095012887746245,0.11096197281475653,11.096197281475654,0.0005320076982356561,0.053200769823565607,0.10993991908332901,0.11200921692546362,10.993991908332902,11.200921692546363
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C11_all_Ball,0.12419430958973733,12.419430958973733,0.12422122887043179,12.422122887043178,0.0005392363358190744,0.05392363358190744,0.1232118900459362,0.12539859378356,12.32118900459362,12.539859378355999
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,availability_main_at_early_budget,0.009894356784301048,0.9894356784301048,0.009891751221351913,0.9891751221351913,0.0003601569650522096,0.03601569650522096,0.009211436043194196,0.010578876070550419,0.9211436043194197,1.0578876070550418
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,capacity_main_in_early_cohort,0.020409173567083938,2.040917356708394,0.020390360850803497,2.0390360850803497,0.0002566531509866863,0.02566531509866863,0.01991827299796121,0.02091481393675599,1.991827299796121,2.091481393675599
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,interaction,0.0033498239279738384,0.33498239279738384,0.003367504834323349,0.3367504834323349,0.0003588908987919233,0.03588908987919233,0.0026444483025129598,0.004069466590666213,0.26444483025129595,0.4069466590666213
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,ordered_capacity_within_early_cohort,0.020409173567083938,2.040917356708394,0.020390360850803497,2.0390360850803497,0.0002566531509866863,0.02566531509866863,0.01991827299796121,0.02091481393675599,1.991827299796121,2.091481393675599
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,ordered_availability_at_all_budget,0.013244180712274886,1.3244180712274887,0.013259256055675264,1.3259256055675264,0.00041723644134415873,0.04172364413441587,0.01239481939116467,0.014038566746011302,1.2394819391164669,1.4038566746011303
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,availability_at_early_budget,0.009894356784301048,0.9894356784301048,0.009891751221351913,0.9891751221351913,0.0003601569650522096,0.03601569650522096,0.009211436043194196,0.010578876070550419,0.9211436043194197,1.0578876070550418
