target,feature_set,model,evaluation,n,event_n,raw_brier,calibrated_brier,brier_delta_calibrated_minus_raw,brier_improvement_raw_minus_calibrated,raw_log_loss,calibrated_log_loss,log_loss_delta_calibrated_minus_raw,raw_ece,calibrated_ece,ece_delta_calibrated_minus_raw,raw_calibration_intercept,calibrated_calibration_intercept,raw_calibration_slope,calibrated_calibration_slope,raw_pr_auc,calibrated_pr_auc,pr_auc_delta_calibrated_minus_raw,raw_roc_auc,calibrated_roc_auc,roc_auc_delta_calibrated_minus_raw,population,scenario,raw_null_brier,calibrated_null_brier,raw_brier_skill_score,calibrated_brier_skill_score
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,355314,30630,0.07691837408834633,0.07691855823312319,1.8414477685746444e-07,-1.8414477685746444e-07,0.2839120634549592,0.28390969436871993,-2.369086239240037e-06,0.0015038238348683076,0.0015784024634593133,7.45786285910057e-05,0.017253555965471647,-0.017559163418260425,1.0112833547853277,0.9947826456912958,0.15241552115277987,0.15241552115277987,0.0,0.630971604775645,0.630971604775645,0.0,singleton_primary,full_cohort,0.07877406279415335,0.07877406279415335,0.02355710293445401,0.023554765302366443
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,267677,22102,0.07406851932419549,0.07406958884224023,1.0695180447384267e-06,-1.0695180447384267e-06,0.27590456759256676,0.2759032208778651,-1.3467147016443803e-06,0.002732801729720537,0.0028127120622297294,7.991033250919237e-05,-0.029273552306299227,-0.06360395266693171,0.9972755776475122,0.9810034586793757,0.14584624081039857,0.14584624081039857,0.0,0.6280599555761998,0.6280599555761998,0.0,singleton_primary,early_entry,0.07575191474122586,0.07575191474122586,0.02222248008886607,0.0222083613956503
target_preterm,booking_strict,lightgbm,temporal_test_2023,3480382,303001,0.0776030643080496,0.07760399193542919,9.276273795905121e-07,-9.276273795905121e-07,0.28593233820141845,0.2859345065462407,2.1683448222509227e-06,0.0007249715119310161,0.0008008448615786502,7.587334964763415e-05,-0.011203751999656177,-0.04557528977395464,0.9984705964274341,0.9821789796992612,0.1536579320323045,0.1536579320323045,0.0,0.6298689441191574,0.6298689441191574,0.0,singleton_primary,full_cohort,0.07948030559724026,0.07948030559724026,0.023618949060203898,0.023607277900001167
target_preterm,booking_strict,lightgbm,temporal_test_2023,2601060,217632,0.07494790406110491,0.0749496136334781,1.7095723731930246e-06,-1.7095723731930246e-06,0.2784968874766459,0.27850101621327455,4.128736628639107e-06,0.0014915923311777778,0.0014753806328694585,-1.621169830831929e-05,-0.051590666211632184,-0.0855056340333397,0.9852269810072655,0.9691517698072889,0.14783129967864955,0.14783129967864955,0.0,0.6271009000570187,0.6271009000570187,0.0,singleton_primary,early_entry,0.07666975039728974,0.07666975039728974,0.022457961937563553,0.022435664064356264
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,354906,30042,0.07587656430728427,0.07587734423379819,7.799265139135647e-07,-7.799265139135647e-07,0.28131340743798,0.28131688624955037,3.478811570367668e-06,0.0018799885461275926,0.0019810827164937197,0.00010109417036612716,0.03244980861373215,-0.04513605419074664,1.0119745959181388,0.9780764035783768,0.14522303526669272,0.14522303526669272,0.0,0.6250813180769735,0.6250813180769735,0.0,singleton_primary,full_cohort,0.07748252161759331,0.07748252161759331,0.02072670425254175,0.02071663841449689
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,267229,21269,0.07186503452202501,0.07187168015036415,6.645628339130294e-06,-6.645628339130294e-06,0.26994740674801365,0.26996058801927414,1.3181271260487293e-05,0.003315851377763061,0.003411591460025347,9.574008226228593e-05,-0.06794732774429738,-0.14381388416331645,0.9895308061747534,0.9563837613291181,0.1364409194046371,0.1364409194046371,0.0,0.621853307902266,0.621853307902266,0.0,singleton_primary,early_entry,0.07325619928440517,0.07325619928440517,0.01899040321460288,0.01889968559064692
target_nicu,booking_strict,lightgbm,temporal_test_2023,3476584,303285,0.07796794547250605,0.07796866596343978,7.204909337338306e-07,-7.204909337338306e-07,0.2874067191402916,0.28742092180497103,1.4202664679441313e-05,0.0020280474804845877,0.0021655992542810904,0.00013755177379650265,0.015380795907091302,-0.06092185299141615,0.9952420923181133,0.961904502089321,0.14834653254234342,0.14834653254234342,0.0,0.6230668766834335,0.6230668766834335,0.0,singleton_primary,full_cohort,0.07962628829113558,0.07962628829113558,0.020826574416807908,0.020817526011448373
target_nicu,booking_strict,lightgbm,temporal_test_2023,2597274,214174,0.07418765333484721,0.07419382981950745,6.176484660239123e-06,-6.176484660239123e-06,0.27672448580497777,0.27674892611939245,2.4440314414675424e-05,0.0015098663444674044,0.0021415811282253596,0.0006317147837579553,-0.0700199693127473,-0.1448929642750114,0.9765898059264236,0.9438768959321924,0.14030066917522024,0.14030066917522024,0.0,0.6203062919482566,0.6203062919482566,0.0,singleton_primary,early_entry,0.07566124414549641,0.07566124414549641,0.019476164148391262,0.01939453074769859
target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,355338,24897,0.06330240680525716,0.06330267654313936,2.6973788219697425e-07,-2.6973788219697425e-07,0.24150374582810913,0.241504855031041,1.1092029318648944e-06,0.00111058919899985,0.001139171021687579,2.85818226877291e-05,-0.013507225938145425,-0.025982726727866327,0.9948761884879684,0.9891177565087389,0.1394487205557437,0.1394487205557437,0.0,0.6677120395724552,0.6677120395724552,0.0,singleton_primary,full_cohort,0.06515648387433044,0.06515648387433044,0.028455756953510658,0.028451617106389437
target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,267581,17324,0.05896478578928429,0.05896526569467581,4.799053915233165e-07,-4.799053915233165e-07,0.22852814310170266,0.22852595742030782,-2.185681394845096e-06,0.0025358333378067708,0.0024615276459174973,-7.430569188927351e-05,-0.07030126094210912,-0.08268864155732876,0.9878342358535334,0.9821165061188506,0.12940375178259794,0.12940375178259794,0.0,0.667044146430907,0.667044146430907,0.0,singleton_primary,early_entry,0.060551354742105865,0.060551354742105865,0.026202038906956382,0.026194113313985468
