target,feature_set,model,evaluation,probability_type,is_calibrator_fit_split,n,event_n,prevalence,mean_predicted_probability,brier,log_loss,pr_auc,roc_auc,calibration_intercept,calibration_slope,calibration_fit_optimizer_success,calibration_fit_optimizer_method,calibration_fit_optimizer_message,ece,mce,curve_bins_requested,curve_bins_observed,population,scenario,null_brier,brier_skill_score
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,False,355314,30630,0.086205440821358,0.08684447597025884,0.07691837408834633,0.2839120634549592,0.15241552115277987,0.630971604775645,0.017253555965471647,1.0112833547853277,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0015038238348683076,0.004208864303363029,20,20,singleton_primary,full_cohort,0.07877406279415335,0.02355710293445401
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,False,355314,30630,0.086205440821358,0.08664842303319331,0.07691855823312319,0.28390969436871993,0.15241552115277987,0.630971604775645,-0.017559163418260425,0.9947826456912958,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0015784024634593133,0.004156541719829654,20,20,singleton_primary,full_cohort,0.07877406279415335,0.023554765302366443
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,raw,False,267677,22102,0.08256966418481976,0.08429010639452897,0.07406851932419549,0.27590456759256676,0.14584624081039857,0.6280599555761998,-0.029273552306299227,0.9972755776475122,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.002732801729720537,0.006657843251117651,20,20,singleton_primary,early_entry,0.07575191474122586,0.02222248008886607
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,False,267677,22102,0.08256966418481976,0.08405872639849298,0.07406958884224023,0.2759032208778651,0.14584624081039857,0.6280599555761998,-0.06360395266693171,0.9810034586793757,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0028127120622297294,0.008151582481496972,20,20,singleton_primary,early_entry,0.07575191474122586,0.0222083613956503
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,False,3480382,303001,0.08705969632069123,0.08766362556950996,0.0776030643080496,0.28593233820141845,0.1536579320323045,0.6298689441191574,-0.011203751999656177,0.9984705964274341,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0007249715119310161,0.0021391147240248654,20,20,singleton_primary,full_cohort,0.07948030559724026,0.023618949060203898
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,False,3480382,303001,0.08705969632069123,0.08748080179549399,0.07760399193542919,0.2859345065462407,0.1536579320323045,0.6298689441191574,-0.04557528977395464,0.9821789796992612,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0008008448615786502,0.004715291707674679,20,20,singleton_primary,full_cohort,0.07948030559724026,0.023607277900001167
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,False,2601060,217632,0.08367050356393163,0.08501441175507131,0.07494790406110491,0.2784968874766459,0.14783129967864955,0.6271009000570187,-0.051590666211632184,0.9852269810072655,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0014915923311777778,0.004910528024137634,20,20,singleton_primary,early_entry,0.07666975039728974,0.022457961937563553
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,False,2601060,217632,0.08367050356393163,0.08479478384007332,0.0749496136334781,0.27850101621327455,0.14783129967864955,0.6271009000570187,-0.0855056340333397,0.9691517698072889,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0014753806328694585,0.00737416585387865,20,20,singleton_primary,early_entry,0.07666975039728974,0.022435664064356264
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,False,354906,30042,0.08464776588730537,0.08427891193635768,0.07587656430728427,0.28131340743798,0.14522303526669272,0.6250813180769735,0.03244980861373215,1.0119745959181388,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0018799885461275926,0.004394825052844484,20,20,singleton_primary,full_cohort,0.07748252161759331,0.02072670425254175
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,False,354906,30042,0.08464776588730537,0.08424609932148061,0.07587734423379819,0.28131688624955037,0.14522303526669272,0.6250813180769735,-0.04513605419074664,0.9780764035783768,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0019810827164937197,0.005357909724821697,20,20,singleton_primary,full_cohort,0.07748252161759331,0.02071663841449689
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,False,267229,21269,0.07959091266292206,0.08278154680248162,0.07186503452202501,0.26994740674801365,0.1364409194046371,0.621853307902266,-0.06794732774429738,0.9895308061747534,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.003315851377763061,0.00927902074895301,20,20,singleton_primary,early_entry,0.07325619928440517,0.01899040321460288
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,False,267229,21269,0.07959091266292206,0.08270075143112333,0.07187168015036415,0.26996058801927414,0.1364409194046371,0.621853307902266,-0.14381388416331645,0.9563837613291181,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.003411591460025347,0.01460825457789186,20,20,singleton_primary,early_entry,0.07325619928440517,0.01889968559064692
target_nicu,booking_strict,lightgbm,temporal_test_2023,raw,False,3476584,303285,0.0872364942138605,0.08520844673337592,0.07796794547250605,0.2874067191402916,0.14834653254234342,0.6230668766834335,0.015380795907091302,0.9952420923181133,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0020280474804845877,0.004463026826355715,20,20,singleton_primary,full_cohort,0.07962628829113558,0.020826574416807908
target_nicu,booking_strict,lightgbm,temporal_test_2023,calibrated,False,3476584,303285,0.0872364942138605,0.0852093433814604,0.07796866596343978,0.28742092180497103,0.14834653254234342,0.6230668766834335,-0.06092185299141615,0.961904502089321,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0021655992542810904,0.0036621183796677753,20,20,singleton_primary,full_cohort,0.07962628829113558,0.020817526011448373
target_nicu,booking_strict,lightgbm,temporal_test_2023,raw,False,2597274,214174,0.08246107264770679,0.08364713590294844,0.07418765333484721,0.27672448580497777,0.14030066917522024,0.6203062919482566,-0.0700199693127473,0.9765898059264236,True,L-BFGS-B,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0015098663444674044,0.0036571800192918003,20,20,singleton_primary,early_entry,0.07566124414549641,0.019476164148391262
